Country,Value,FIPS,ISO2,ISO3,UN,NAME,lat,lon
Albanie,156316.0,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Allemagne,41806579.0,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Angleterre et Pays de Galles,32040449.0,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Autriche,4468231.0,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Belgique,8568146.0,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Bosnie-Herzégovine,272353.0,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bulgarie,1075420.0,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Chypre,98423.0,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Croatie,700851.0,HR,HR,HRV,191.0,Croatie,45.815399,15.966568
Danemark,6083102.0,DA,DK,DNK,208.0,Danemark,55.963397907,10.0462968075
Espagne,11628625.0,SP,ES,ESP,724.0,Espagne,40.2279885804,-3.64846086641
Estonie,344066.0,EN,EE,EST,233.0,Estonie,58.6741361414,25.5276159945
Finlande,3252434.0,FI,FI,FIN,246.0,Finlande,64.500422299,26.2663706977
France,38635869.0,FR,FR,FRA,250.0,France,46.564502139,2.55195527587
Grèce,2476480.0,GR,GR,GRC,300.0,Grèce,39.0683212219,22.9610379833
Hongrie,2520118.0,HU,HU,HUN,348.0,Hongrie,47.166502594,19.413449085
Irlande,1936186.0,EI,IE,IRL,372.0,Irlande,53.1763807059,-8.15057983069
Irlande du Nord (Royaume-Uni) (NUTS 2021),574598.0,,,,,Irlande du Nord (Royaume-Uni) (NUTS 2021),,
Islande,137380.0,IC,IS,ISL,352.0,Islande,64.9975884418,-18.6054667962
Italie,24739457.0,IT,IT,ITA,380.0,Italie,42.7965060418,12.0723678476
Kosovo*,323197.0,,,,,Kosovo*,,
Lettonie,407054.0,LG,LV,LVA,428.0,Lettonie,56.857534554,24.9294249471
Liechtenstein,16307.0,LS,LI,LIE,438.0,Liechtenstein,47.1518476121,9.55426912972
Lituanie,502824.0,LH,LT,LTU,440.0,Lituanie,55.3356704206,23.8981221633
Luxembourg,319614.0,LU,LU,LUX,442.0,Luxembourg,49.770627962,6.08781362543
Macédoine du Nord,168829.0,MK,MK,MKD,807.0,Macédoine du Nord,41.5996826693,21.697475751
Malte,143308.0,MT,MT,MLT,470.0,Malte,35.8905224404,14.4419214047
Monténégro,35915.0,MJ,ME,MNE,499.0,Monténégro,42.7913240316,19.253240468
Norvège,2957589.0,NO,NO,NOR,578.0,Norvège,64.4478377567,14.0845236449
Pays-Bas,9271661.0,NL,NL,NLD,528.0,Pays-Bas,52.2489010985,5.60252076781
Pologne,6885405.0,PL,PL,POL,616.0,Pologne,52.1246098981,19.4008838477
Portugal,2974186.0,PO,PT,PRT,620.0,Portugal,39.6009946814,-8.56273056851
Roumanie,2162840.0,RO,RO,ROU,642.0,Roumanie,45.8436147469,24.9692584847
Serbie,909213.0,RB,RS,SRB,688.0,Serbie,44.0320459143,20.8054576928
Slovaquie,661467.0,LO,SK,SVK,703.0,Slovaquie,48.7075308513,19.4916510637
Slovénie,678767.0,SI,SI,SVN,705.0,Slovénie,46.1235634028,14.8265364091
Suisse,5097908.0,SZ,CH,CHE,756.0,Suisse,46.802495577,8.2343922162
Suède,12291326.0,SW,SE,SWE,752.0,Suède,62.7900621032,16.7397658618
Tchéquie,2827566.0,EZ,CZ,CZE,203.0,Czech Republic,49.7428590028,15.3384118221
Turquie,4068971.0,TU,TR,TUR,792.0,Turquie,39.0604813633,35.179593397
Écosse (NUTS 2021),2097274.0,,,,,Écosse (NUTS 2021),,
